name,id,region_id
Березанський міський суд Київської області,272,10
Білоцерківський міськрайонний суд Київської області,273,10
Богуславський районний суд Київської області,274,10
Бориспільський міськрайонний суд Київської області,275,10
Бородянський районний суд Київської області,276,10
Броварський міськрайонний суд Київської області,277,10
Васильківський міськрайонний суд Київської області,278,10
Вишгородський районний суд Київської області,279,10
Володарський районний суд Київської області,280,10
Господарський суд Київської області,281,10
Згурівський районний суд Київської області,282,10
Іванківський районний суд Київської області,283,10
Ірпінський міський суд Київської області,284,10
Кагарлицький районний суд Київської області,285,10
Києво-Святошинський районний суд Київської області,286,10
Київський окружний адміністративний суд,287,10
Макарівський районний суд Київської області,288,10
Миронівський районний суд Київської області,289,10
Обухівський районний суд Київської області,290,10
Переяслав-Хмельницький міськрайонний суд Київської області,291,10
Ржищівський міський суд Київської області,292,10
Рокитнянський районний суд Київської області,293,10
Сквирський районний суд Київської області,294,10
Славутицький міський суд Київської області,295,10
Ставищенський районний суд Київської області,296,10
Таращанський районний суд Київської області,297,10
Тетіївський районний суд Київської області,298,10
Фастівський міськрайонний суд Київської області,299,10
Яготинський районний суд Київської області,300,10
Вищий адміністративний суд України,301,10
Вищий господарський суд України,302,10
Голосіївський районний суд міста Києва,303,10
Господарський суд міста Києва,304,10
Дарницький районний суд міста Києва,305,10
Деснянський районний суд міста Києва,306,10
Дніпровський районний суд міста Києва,307,10
Київський апеляційний адміністративний суд,308,10
Київський апеляційний господарський суд,309,10
Оболонський районний суд міста Києва,310,10
Окружний адміністративний суд міста Києва,311,10
Печерський районний суд міста Києва,312,10
Подільський районний суд міста Києва,313,10
Святошинський районний суд міста Києва,314,10
Солом'янський районний суд міста Києва,315,10
Шевченківський районний суд міста Києва,316,10
Апеляційний суд Кіровоградської області,317,11
Бобринецький районний суд Кіровоградської області,318,11
Вільшанський районний суд Кіровоградської області,319,11
Гайворонський районний суд Кіровоградської області,320,11
Голованівський районний суд Кіровоградської області,321,11
Господарський суд Кіровоградської області,322,11
Добровеличківський районний суд Кіровоградської області,323,11
Долинський районний суд Кіровоградської області,324,11
Знам’янський міськрайонний суд Кіровоградської області,325,11
Кіровоградський окружний адміністративний суд,326,11
Кіровоградський районний суд Кіровоградської області,327,11
Кіровський районний суд м.Кіровограда,328,11
Компаніївський районний суд Кіровоградської області,329,11
Ленінський районний суд м.Кіровограда,330,11
Маловисківський районний суд Кіровоградської області,331,11
Новгородківський районний суд Кіровоградської області,332,11
Новоархангельський районний суд Кіровоградської області,333,11
Новомиргородський районний суд Кіровоградської області,334,11
Новоукраїнський районний суд Кіровоградської області,335,11
Олександрівський районний суд Кіровоградської області,336,11
Олександрійський міськрайонний суд Кіровоградської області,337,11
Онуфріївський районний суд Кіровоградської області,338,11
Петрівський районний суд Кіровоградської області,339,11
Світловодський міськрайонний суд Кіровоградської області,340,11
Ульяновський районний суд Кіровоградської області,341,11
Устинівський районний суд Кіровоградської області,342,11
Алчевський міський суд Луганської області,343,12
Антрацитівський міськрайонний суд Луганської області,344,12
Апеляційний суд Луганської області,345,12
Артемівський районний суд м. Луганська,346,12
Біловодський районний суд Луганської області,347,12
Білокуракинський районний суд Луганської області,348,12
Брянківський міський суд Луганської області,349,12
Господарський суд Луганської області,350,12
Жовтневий районний суд м. Луганська,351,12
Кам’янобрідський районний суд м. Луганська,352,12
Кіровський міський суд Луганської області,353,12
Краснодонський міськрайонний суд Луганської області,354,12
Краснолуцький міський суд Луганської області,355,12
